epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5469.91,1.31559,1.25123,1.38299,0.62482,0.60976,0.5936,0.38942,1.16183,1.09313,1.31095,0.00878581,0.00878581,0.00878581
43,5597.71,1.30438,1.24998,1.38584,0.66238,0.59164,0.59117,0.38603,1.15196,1.11002,1.30021,0.00872857,0.00872857,0.00872857
44,5727.11,1.31606,1.25551,1.38773,0.64092,0.57991,0.59817,0.39331,1.13787,1.08128,1.29425,0.0086702,0.0086702,0.0086702
45,5854.89,1.30848,1.23459,1.37782,0.66144,0.5654,0.59263,0.38772,1.15856,1.06186,1.30565,0.00861073,0.00861073,0.00861073
46,5983.13,1.29223,1.21155,1.37427,0.69454,0.55186,0.60999,0.40206,1.1522,1.05932,1.29459,0.00855018,0.00855018,0.00855018
47,6115.73,1.29631,1.22414,1.37637,0.69789,0.57962,0.61905,0.40672,1.14199,1.06097,1.28394,0.00848856,0.00848856,0.00848856
48,6243.07,1.28885,1.20689,1.36691,0.67488,0.58679,0.61467,0.40392,1.14177,1.04853,1.28576,0.00842589,0.00842589,0.00842589
49,6370.46,1.28087,1.20034,1.36536,0.65252,0.59269,0.60917,0.40021,1.15449,1.05788,1.30502,0.0083622,0.0083622,0.0083622
50,6497.84,1.27281,1.20066,1.36803,0.70568,0.58816,0.62231,0.41088,1.15383,1.04698,1.29169,0.00829749,0.00829749,0.00829749
51,6625.04,1.28374,1.201,1.36251,0.69884,0.5774,0.61042,0.40342,1.14908,1.05597,1.28143,0.0082318,0.0082318,0.0082318
52,6752.74,1.27613,1.19466,1.35718,0.68215,0.58225,0.60781,0.40188,1.14227,1.04419,1.2735,0.00816514,0.00816514,0.00816514
53,6880.58,1.26538,1.18046,1.35702,0.71128,0.58093,0.61916,0.40932,1.12688,1.04122,1.27817,0.00809752,0.00809752,0.00809752
54,7009.3,1.25326,1.16805,1.35021,0.69166,0.58932,0.62342,0.41463,1.12453,1.02357,1.27448,0.00802898,0.00802898,0.00802898
55,7138.31,1.2591,1.16892,1.351,0.70079,0.58494,0.61944,0.41523,1.13291,1.03972,1.27941,0.00795954,0.00795954,0.00795954
56,7267.23,1.27294,1.17794,1.35977,0.69192,0.59085,0.62387,0.41872,1.11995,1.01808,1.27711,0.0078892,0.0078892,0.0078892
57,7396.07,1.25915,1.15897,1.35378,0.67634,0.60266,0.61246,0.40869,1.12487,1.03555,1.28118,0.007818,0.007818,0.007818
58,7524.76,1.2525,1.15853,1.34599,0.67379,0.59637,0.61147,0.4079,1.12945,1.02665,1.2747,0.00774596,0.00774596,0.00774596
59,7653.18,1.2434,1.14656,1.34062,0.7131,0.57633,0.61317,0.40694,1.11712,1.01246,1.2635,0.0076731,0.0076731,0.0076731
60,7781.88,1.25488,1.16401,1.3507,0.67983,0.62502,0.6288,0.41575,1.12742,1.00465,1.27516,0.00759944,0.00759944,0.00759944
61,7910.48,1.25587,1.15323,1.34473,0.67178,0.60011,0.61686,0.40952,1.13718,1.02236,1.27828,0.007525,0.007525,0.007525
62,8040.56,1.24194,1.13187,1.33657,0.70077,0.61103,0.63663,0.42816,1.12165,0.99631,1.27122,0.00744981,0.00744981,0.00744981
63,8169.54,1.25378,1.14545,1.34313,0.72228,0.60606,0.63871,0.4285,1.11071,0.99304,1.26366,0.00737388,0.00737388,0.00737388
64,8298.94,1.24354,1.13435,1.33827,0.71624,0.61903,0.63952,0.42989,1.10615,0.98542,1.26477,0.00729725,0.00729725,0.00729725
65,8428.78,1.24171,1.12658,1.34067,0.69671,0.59936,0.64063,0.4255,1.11326,0.97285,1.27014,0.00721994,0.00721994,0.00721994
66,8558.17,1.2373,1.11581,1.33516,0.7122,0.59069,0.642,0.42569,1.10898,0.98189,1.26366,0.00714196,0.00714196,0.00714196
67,8687.91,1.2322,1.1197,1.33261,0.73991,0.58882,0.64434,0.43103,1.10083,0.97446,1.2576,0.00706335,0.00706335,0.00706335
68,8818.62,1.24163,1.11561,1.33941,0.69835,0.60646,0.63855,0.42724,1.1022,0.98566,1.2648,0.00698412,0.00698412,0.00698412
69,8960.8,1.22701,1.1024,1.33266,0.68591,0.64234,0.6454,0.43269,1.09884,0.98534,1.25452,0.0069043,0.0069043,0.0069043
70,9091.09,1.22763,1.11228,1.33318,0.70693,0.60594,0.64212,0.43204,1.09312,0.9795,1.25365,0.00682392,0.00682392,0.00682392
71,9221.04,1.22082,1.09933,1.3246,0.68631,0.63509,0.64646,0.4319,1.09484,0.96894,1.25124,0.006743,0.006743,0.006743
72,9349.05,1.22409,1.104,1.3307,0.70418,0.61477,0.64305,0.42986,1.09271,0.96306,1.25679,0.00666156,0.00666156,0.00666156
73,9477.13,1.2226,1.09462,1.32801,0.69528,0.63131,0.64764,0.43017,1.09231,0.9674,1.25645,0.00657963,0.00657963,0.00657963
74,9605.31,1.21636,1.08588,1.32491,0.71335,0.6206,0.64677,0.43192,1.09252,0.96738,1.25481,0.00649724,0.00649724,0.00649724
75,9733.54,1.2203,1.08671,1.32335,0.72374,0.61624,0.64429,0.42774,1.08687,0.95809,1.24543,0.0064144,0.0064144,0.0064144
76,9862.63,1.20726,1.06913,1.31705,0.71581,0.62241,0.64334,0.42813,1.08823,0.95804,1.24508,0.00633115,0.00633115,0.00633115
77,9992.9,1.21789,1.09669,1.32121,0.71431,0.62598,0.64703,0.43372,1.08335,0.95812,1.23954,0.00624751,0.00624751,0.00624751
78,10121.9,1.20462,1.05524,1.3089,0.71787,0.61511,0.64908,0.43635,1.07924,0.95791,1.23374,0.00616351,0.00616351,0.00616351
79,10252.5,1.20761,1.07308,1.31074,0.70525,0.62819,0.64779,0.43463,1.0754,0.95723,1.23515,0.00607916,0.00607916,0.00607916
80,10385.2,1.20408,1.06952,1.30809,0.72299,0.63475,0.64944,0.43754,1.07519,0.95213,1.23358,0.0059945,0.0059945,0.0059945
81,10514.4,1.19701,1.05529,1.30515,0.73542,0.62879,0.65647,0.43957,1.0782,0.9422,1.23697,0.00590956,0.00590956,0.00590956
82,10643.2,1.19881,1.0544,1.30412,0.74975,0.6173,0.65754,0.43999,1.08079,0.93769,1.23847,0.00582435,0.00582435,0.00582435
83,10772.1,1.19244,1.0465,1.29969,0.73948,0.62385,0.65585,0.43925,1.08179,0.94373,1.23654,0.00573891,0.00573891,0.00573891
84,10900.8,1.1869,1.04228,1.30328,0.72051,0.62545,0.65649,0.43758,1.08347,0.94581,1.24017,0.00565325,0.00565325,0.00565325
85,11029.6,1.19452,1.04292,1.30614,0.73252,0.62552,0.6559,0.4352,1.0853,0.94555,1.24506,0.00556742,0.00556742,0.00556742
86,11159.1,1.1885,1.03609,1.293,0.73083,0.62202,0.65599,0.43698,1.08134,0.94112,1.24203,0.00548142,0.00548142,0.00548142
87,11288.1,1.18108,1.03913,1.29066,0.72042,0.63429,0.65292,0.43691,1.07671,0.94166,1.2345,0.00539529,0.00539529,0.00539529
88,11416.6,1.19432,1.04504,1.30338,0.71815,0.63024,0.65211,0.43661,1.07978,0.94746,1.23652,0.00530906,0.00530906,0.00530906
89,11545.6,1.17977,1.02578,1.29811,0.71916,0.63229,0.64956,0.43549,1.07527,0.94747,1.23321,0.00522275,0.00522275,0.00522275
90,11674.7,1.17907,1.01955,1.28928,0.70283,0.64264,0.6497,0.43645,1.07394,0.94281,1.23054,0.00513639,0.00513639,0.00513639
91,11803.5,1.17554,1.03017,1.29094,0.71136,0.64462,0.65249,0.43755,1.0725,0.93308,1.23009,0.00505,0.00505,0.00505
92,11932.2,1.16215,1.00966,1.28295,0.71347,0.63247,0.6517,0.43672,1.07245,0.93332,1.2305,0.00496361,0.00496361,0.00496361
93,12060.7,1.17671,1.01778,1.29496,0.71869,0.63471,0.65524,0.4394,1.07124,0.93014,1.23222,0.00487725,0.00487725,0.00487725
94,12189.3,1.16286,1.01228,1.28379,0.69215,0.64952,0.65536,0.44037,1.0674,0.92921,1.23022,0.00479094,0.00479094,0.00479094
95,12318.6,1.17386,1.00843,1.28752,0.6938,0.64538,0.65656,0.43858,1.06601,0.93048,1.22978,0.00470471,0.00470471,0.00470471
96,12447.4,1.16605,1.00983,1.28154,0.69074,0.64676,0.65665,0.43833,1.06499,0.93348,1.22787,0.00461858,0.00461858,0.00461858
97,12575.7,1.14724,0.99166,1.27386,0.71553,0.63441,0.65678,0.4382,1.06674,0.93641,1.22916,0.00453258,0.00453258,0.00453258
98,12704.5,1.15183,0.99692,1.27846,0.71386,0.6362,0.65684,0.44021,1.07224,0.94148,1.23117,0.00444675,0.00444675,0.00444675
99,12832.6,1.15586,0.9912,1.27676,0.70566,0.63287,0.65858,0.4415,1.07603,0.94359,1.23254,0.00436109,0.00436109,0.00436109
100,12961.4,1.15005,0.98532,1.27493,0.73195,0.61413,0.65897,0.44212,1.07634,0.94457,1.23196,0.00427565,0.00427565,0.00427565
101,13090.3,1.14691,0.98344,1.27193,0.72622,0.62862,0.65815,0.44181,1.07465,0.94437,1.23047,0.00419044,0.00419044,0.00419044
102,13219,1.15168,0.99161,1.2734,0.73442,0.62126,0.65923,0.44222,1.0733,0.9423,1.22916,0.0041055,0.0041055,0.0041055
103,13347.6,1.14546,0.97919,1.27344,0.72763,0.62307,0.65857,0.44246,1.07446,0.9426,1.22943,0.00402084,0.00402084,0.00402084
104,13476.4,1.13515,0.9728,1.26724,0.73899,0.61703,0.65866,0.44208,1.07224,0.94209,1.2303,0.00393649,0.00393649,0.00393649
105,13605.2,1.13542,0.96748,1.262,0.72851,0.62488,0.65864,0.44412,1.07206,0.9425,1.23007,0.00385249,0.00385249,0.00385249
106,13733.3,1.12712,0.95785,1.26412,0.72705,0.62637,0.65756,0.44243,1.07089,0.93865,1.23046,0.00376885,0.00376885,0.00376885
107,13862.1,1.12936,0.95806,1.25748,0.72617,0.6338,0.65776,0.44314,1.07095,0.93945,1.23006,0.0036856,0.0036856,0.0036856
